ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
243,10046.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35233.0,de kalb,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,90 patients,al_scip-vte-1
244,10046.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35233.0,de kalb,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,97%,90 patients,al_scip-vte-2
245,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,birmingham,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,0 patients,al_ami-1
246,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,empty,0 patients,al_ami-2
247,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,birmingham,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_ami-3
248,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
249,10046.0,southwest alabama medical center,northwest medical center,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,montgomery,government - federal,yes,heart attack,ak_scip-inf-6,heart attack patients given beta blocker at discharge,empty,0 patients,al_ami-5
250,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
251,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
252,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart failure,al_pn-7,heart failure patients given discharge instructions,100%,autauga,al_hf-1
253,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,89%,91 patients,al_hf-2
254,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,295 patients,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,voluntary non-profit - other,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,25 patients,al_hf-3
255,10046.0,southwest alabama medical center,heart attack,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,hf-4,heart failure patients given smoking cessation advice/counseling,88%,17 patients,al_hf-4
256,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,jefferson,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,92%,elmore,al_hf-4
257,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,24 patients,al_pn-3b
258,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,6 patients,al_pn-4
259,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-5c,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),96%,24 patients,al_pn-5c
260,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,birmingham,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),100%,26 patients,al_pn-6
261,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,92%,24 patients,al_pn-7
262,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,empty,al_scip-card-2
263,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,86%,14 patients,al_scip-inf-1
264,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,14 patients,al_scip-inf-2
265,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,birmingham,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),86%,14 patients,al_scip-inf-3
266,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,al_cac-1,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
267,10046.0,anniston,33700 highway 43,empty,empty,birmingham,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,15 patients,al_scip-inf-6
268,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90%,government - state,al_scip-vte-1
269,10046.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,35233.0,clarke,2562651000.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,10 patients,al_scip-vte-2
270,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,99%,179 patients,al_ami-1
271,10046.0,shelby baptist medical center,101 sivley rd,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,voluntary non-profit - other,ami-2,heart attack patients given aspirin at discharge,97%,208 patients,al_ami-2
272,10046.0,shelby baptist medical center,1000 first street north,empty,empty,birmingham,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,30 patients,al_ami-3
273,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,83%,children s asthma care,al_ami-4
274,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,97%,169 patients,al_ami-5
275,10046.0,shelby baptist medical center,38 patients,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,0 patients,al_ami-7a
276,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,al_ami-4,heart attack patients given pci within 90 minutes of arrival,83%,36 patients,al_ami-8a
277,10046.0,shelby baptist medical center,1000 first street north,32%,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-1,heart failure patients given discharge instructions,86%,210 patients,al_hf-1
278,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,246 patients,al_hf-2
279,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,71 patients,al_hf-4
280,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,48 patients,al_hf-4
281,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),97%,235 patients,78%
282,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,110 patients,al_pn-3b
283,10046.0,shelby baptist medical center,1000 first street north,hf-4,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,105 patients,al_pn-4
284,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,hf-4,239 patients,al_pn-5c
285,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,children s asthma care,93%,116 patients,al_pn-6
286,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,100%,199 patients,al_pn-7
287,10046.0,shelby baptist medical center,1000 first street north,empty,empty,birmingham,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89%,96 patients,al_hf-4
288,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,scip-vte-2,al_scip-inf-1
289,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,hf-3,370 patients,al_scip-inf-2
290,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),91%,331 patients,al_scip-inf-3
291,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,proprietary,116 patients,al_scip-inf-4
292,10046.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,588 patients,al_hf-4
293,10046.0,marion,opelika,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,226 patients,al_scip-vte-1
294,10046.0,315 w hickory st,1000 first street north,empty,empty,alabaster,al,35233.0,shelby,2562651000.0,lauderdale,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,225 patients,al_scip-vte-2
295,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,empty,al_scip-inf-2
296,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,northwest medical center,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,empty,270 patients,al_ami-2
297,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,al_ami-3
298,10046.0,surgical infection prevention,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,empty,al_ami-4
299,10046.0,yes,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,empty,florence,heart attack patients given beta blocker at discharge,empty,empty,al_ami-5
300,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,empty,al_ami-7a
301,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,empty,al_ami-8a
302,10046.0,lee,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,boaz,empty,al_hf-1
303,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,montgomery,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,empty,al_hf-2
304,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,al_hf-3
305,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,empty,heart failure patients given smoking cessation advice/counseling,empty,empty,al_hf-4
306,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,empty,empty,al_pn-2
307,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,empty,al_hf-4
308,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,empty,al_pn-4
309,10046.0,hf-4,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,342 patients,al_pn-5c
310,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),empty,empty,al_pn-6
311,10046.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,pn-7,pneumonia patients assessed and given influenza vaccination,empty,empty,al_pn-7
312,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,100%,9 patients,al_cac-2
313,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,children s asthma care,cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,33%,gadsden,al_cac-3
314,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,voluntary non-profit - private,ami-1,heart attack patients given aspirin at arrival,98%,81 patients,al_ami-1
315,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,empty,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,96%,73 patients,al_hf-4
316,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,birmingham,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,14 patients,al_ami-3
317,10046.0,stringfellow memorial hospital,voluntary non-profit - other,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart attack,ami-4,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,29 patients,al_hf-4
318,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,93%,67 patients,al_ami-5
319,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,northwest medical center,yes,heart attack,ami-3,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,1 patients,al_hf-4
320,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,ak_scip-inf-1,ami-8a,heart attack patients given pci within 90 minutes of arrival,87%,15 patients,al_ami-8a
321,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,boaz,87%,142 patients,al_hf-1
322,10046.0,stringfellow memorial hospital,fayette medical center,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,0 patients,al_hf-2
323,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,49 patients,al_hf-3
324,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
325,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,birmingham,al,35233.0,calhoun,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,110 patients,al_pn-2
326,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,102 patients,al_pn-3b
327,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,83 patients,al_pn-4
328,10046.0,stringfellow memorial hospital,301 east 18th st,empty,lee,marion,al,35233.0,jefferson,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,145 patients,al_pn-5c
329,10046.0,stringfellow memorial hospital,101 sivley rd,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),92%,99 patients,al_pn-6
330,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,91%,87 patients,al_pn-7
331,10046.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,35233.0,calhoun,2562651000.0,acute care hospitals,proprietary,yes,ak,81%,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,23 patients,al_scip-card-2
332,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,342 patients,al_hf-2
333,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,heart failure,ami-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,94 patients,al_hf-3
334,10046.0,58 patients,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,62 patients,al_hf-4
335,10046.0,flowers hospital,ak,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,100%,166 patients,al_pn-2
336,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,0 patients,al_pn-3b
337,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,77 patients,al_pn-4
338,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,pneumonia,ami-3,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,146 patients,al_pn-5c
339,10046.0,flowers hospital,101 sivley rd,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),99%,112 patients,al_pn-6
340,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,99%,128 patients,al_pn-7
341,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,147 patients,al_scip-card-2
342,10046.0,561 patients,101 sivley rd,empty,empty,dothan,al,35233.0,jefferson,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,ami-3,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,950 patients,al_scip-inf-1
343,10046.0,al_cac-1,126 hospital ave,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,ami-3,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,4370 west main street,al_scip-inf-2
344,10046.0,flowers hospital,4370 west main street,empty,empty,birmingham,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),99%,882 patients,al_scip-inf-3
345,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,98%,295 patients,al_scip-inf-4
346,10046.0,east alabama medical center and snf,4370 west main street,empty,empty,birmingham,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,402 patients,100%,1295 patients,al_scip-inf-6
347,10046.0,flowers hospital,4370 west main street,empty,empty,dothan,al,35233.0,houston,2562651000.0,acute care hospitals,voluntary non-profit - private,yes,heart attack patients given smoking cessation advice/counseling,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,497 patients,al_scip-vte-1
348,10046.0,flowers hospital,4370 west main street,empty,empty,government - local,al,35233.0,houston,2562651000.0,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,497 patients,al_scip-vte-2
349,10046.0,st vincents hospital,810 st vincents drive,empty,empty,birmingham,al,35233.0,jefferson,2562651000.0,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,239 patients,al_ami-1
