ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
104,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,covington,3344933541.0,acute ca$re hospitals,voluntary non-profit - private,no,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,14 patients,al_hf-3
105,10007.0,mizell memorial hospital,702@@ n main st,empty,empty,,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,heart failure,hf-4@@,heart failure patients given smoking cessation advice/counseling,100%,8 patients,al_hf-4
106,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,201899.67814102597,covington,3344933541.0,acute care hospitals,,no,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
107,10007.0,mizell memorial hospital,,empty,empty,opp??,al,,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-3b,pneumonia?%? patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,al_p$??n-3b
108,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,%al,36467.0,covington,3344933541.0,a@@cute care hospitals,voluntary non-profit - private,no,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,??100%,28 patients,al_pn-4
109,10007.0,mizell memorial hospital,702 n main st,empty,,opp,al,36467.0,covin%gt%on,13491532172.346636,,voluntary non-profit - private,no,pneumonia,pn-5c,,95%,87 patients,al_pn-5c
110,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,@$@al,36467.0,covington,11818718504.92512,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
111,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,covingto@@n,3344933541.0,acute ??care #hospitals,voluntary non-profit - private,no,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,63 patients,al_pn-7
112,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,198559.14801320602,,3344933541.0,acute care hospitals,,no,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,91%,11 patients,al_scip-card-2
113,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,,144380.5266608546,c%ovington,3344933541.0,acut@@e care hospitals@@,voluntary non-profit - pri??vate,no,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,101 patients,al_scip-in?$?f-1
114,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,n??o,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,101 patients,al_scip-inf-2
115,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93@@%,100 patients,al_scip-inf-3
116,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,168824.10604279733,$covi??ngton,3344933541.0,,,no,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
117,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,c#ov#ington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,123 patients,al%_scip-inf-6#
118,10007.0,mizell memorial hospital,702 n main st,empty,,opp,al,36467.0,covington,3344933541.0,acute care hospitals,voluntary non-profit - private,no,,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,77 patients,al_scip-vte-1
119,10007.0,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467.0,covington,13428778024.06051,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-2,,88%,76 patients,al_scip-vte-2
120,10008.0,crenshaw community hospital,101 hospital circle,empty,emp%%ty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,0%,1 ??patients@@,al_ami-1
121,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,,,,heart attack patients given aspirin at discharge,100%,1 patients,al_ami-2
122,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne@@,al,36049.0,crenshaw,3343353374.0,acute c??are hospitals,government - federal,yes,heart attack,ami%-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_ami-3
123,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospit@@als,@@government - federal,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
124,10008.0,,101 hospital circle,,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - f#ederal,yes,h#eart attack,ami-5,heart attack patients given beta blocker at discharge,0%,1 patients,al_ami-%5
125,10008.0,,101 hospital circle,empty,,luverne,a$l,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
126,10008.0,crenshaw community hospital,101 hospital ci$rc%le,,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - f%ede??ral,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
127,40552.81562305175,crenshaw community hospital,101 hospital circle,empty,empty,luverne,a@@l,,crenshaw,3343353374.0,acute care hospitals,government - federal,,heart failure,hf-1,heart failure patients given discharge instructions,4%%,26 patients,al_hf-1
128,,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,a%cute care hospitals,governm@@ent - federal,yes,,??h#f-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,72%,39 patients,al_hf-2
129,43714.58373457626,crenshaw community hospital,,empty,empty,,al,36049.0,crenshaw,3343353374.0,,%go%vernment - federal,yes,heart failure,hf-3@@,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,8 patients,al_hf-3
130,10008.0,crenshaw community hospital,,empty,empty,luverne,al,36049.0,cren??sha$w,3343353374.0,acute care hospitals,government - federal,,heart f??ai%lure,hf-4,heart failure patients given smoking cessation advice/counseling,0%,5 patients,al_hf-4
131,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,,government - federal,yes,pneumonia,,pneumonia patients assessed and given pneumococcal vaccination,25%,16 patients,al_pn-#2
132,10008.0,crenshaw community hospital,101?? hospital circle,empty,empty,luverne,al@$@,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,15 patients,al_pn-3b
133,,crenshaw community hospital,101 hospital circle,empty,empty,luv#erne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,go#vernment@@ - federal,yes,pneumonia,pn-4,pneumonia% patients given smoking?? cessation advice/counseling,33%,9 patients,al_pn-4
134,10008.0,crenshaw community hospital,,empty,empty,luverne,al,36049.0,crenshaw,12359275339.259485,acute care hospitals,government - federal,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,21 patients,al_pn-5c
135,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,,,pneumonia patients given the most appropriate initial antibiotic(s),62%,21 patients,al_pn-6
136,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al??,36049.0,crenshaw,3343353374.0,acut??e care hospitals,,yes,pneumonia??,pn-7,pneumonia patients assessed and given influenza vaccination,47%,15 patients,al_??pn-7
137,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,,3343353374.0,acute care hospitals,government - federal,yes,surgical infection prevention$,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,,al_scip-card-2
138,58510.46328550009,c@@renshaw community hospital,101 hospital circle,empty,empty,luverne,a%l%,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federa#l,yes,surgical infection prevention,scip-inf-1??,surgery patients who were given a%n antibiotic at the right time (within one hour before surgery) to help prevent infec@@tion,100%,2 patients,al_scip-inf-1
139,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,2 patients,al_scip-inf-2
140,10008.0,crenshaw community hospital,101 hospital circle,e%mpt??y,empty,luverne,al,36049.0,crenshaw,3343353374.0,,government - federal,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,#2 patients,al_scip-inf-3
141,40789.8217814214,crenshaw community hospital,101 hospital circle,e??mpty#,empty,luverne,a%l??,36049.0,crenshaw,,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,,al_scip-inf-4
142,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,@@c#renshaw,3343353374.0,acute care hospitals,governm#ent - federal,yes,surgical infection prevention,scip-inf-6,surgery patien%ts needing hair removed from the surgical area before surgery who had hair removed using a s??afer method (electric clippers or hair removal cream c not a razor),100%,4 patients,al_scip-inf-6
143,10008.0,,101 hospital circle,empty,empty,luverne,al,,crenshaw,3343353374.0,acute care hospit#als,government - federal,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,4 patients,al_scip-vte-1
144,10008.0,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049.0,crenshaw,3343353374.0,acute care hospitals,government - federal,y%es,surgical infection prevention,s#cip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,4 patients,al_scip-vte-2
145,10009.0,hartselle medical center,201 pine street northwest,empty,empty,hartselle,al,199986.13632534686,morgan,2567736511.0,acute care hospitals,proprietary,yes,heart attack??,,heart attack patients given aspirin at arrival,100%,6 patients,al_ami-1
146,34766.638176397646,hartsell$e medical center,201 pine street northwest,empty,empty,hartselle,al,35640.0,morgan,2567736511.0,acute care hospitals,,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,,1 patients,al_ami-2
