ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
217,10011.0,0,50 medical park east drive,empty,empty,birmingham,al,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,601 patients,al_scip-inf-6
218,10011.0,st vincents east,50 medical park east drive,empty,em###??##??pty,birmingham,al,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,229 patients,al_scip-vte-1
219,10011.0,0,50 medical park east drive,empty,empty,birmingham,al,35235.0,jefferson,2058383122.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,224 ####patients,al_scip-vte-2
220,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,46 patients,al_ami-1
221,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,0,95%,39 patients,al_ami-2
222,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,11 patients,al_ami-3
223,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,14 patients,al_ami-4
224,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,95%,41 patients,al_ami-5
225,10012.0,0,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,1 patients,al_ami-7a
226,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,40%,5 patients,al_ami-8a
227,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,76 patients,a%%l_hf-1
228,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,94 patients,al_hf-2
229,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,36 patients,al_hf-3
230,10012.0,0,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,15 patients,al_hf-4
231,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,69 patients,al_pn-2
232,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,91 patients,al_pn-3b
233,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,atients,al_pn-4
234,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,88 patients,al_pn-5c
235,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,82 patients,al_pn-6
236,10012.0,0,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,0,0,acute care hoMpitals,56 patients,al_pn-7
237,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,16 patients,decatur general hospital
238,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,government - state,al_scip-inf-1
239,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,147 patients,al_scip-inf-2
240,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,0,acute care hospitals,0,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,136 patients,al_scip-inf-3
241,10012.0,0,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
242,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,179 patients,al_scip-inf-6
243,10012.0,dekalb regional medical center,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,90 patients,al_scip-vte-1
244,10012.0,0,200 med center drive,empty,empty,fort payne,al,35968.0,de kalb,2568453150.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,97%,90 patients,al_scip-vte-2
245,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,0 patients,al_ami-1
246,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,empty,0 patients,al_ami-2
247,10015.0,southwest alabama medical c~!enter,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_ami-3
248,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heartattack,ami-4,0,empty,0 patients,al_ami-4
249,10015.0,medical center enterprise,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pitals,ami-5,0,empty,0 patients,al_ami-5
250,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,emtpy,0 patients,al_ami-7a
251,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
252,10015.0,southwest alabama medical c~!enter,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,0,heart failure patients given discharge instructions,100%,79 patients,al_hf-1
253,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,89%,91 patients,al_hf-2
254,0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,25 patients,al_hf-3
255,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,88%,17 patients,al_hf-4
256,10015.0,southwest alabama medical center,33700 highway 43,t,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,92%,25 patients,al_pn-2
257,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,24 patients,al_pn-3b
258,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,6 patients,al_pn-4
259,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,24 patients,al_pn-5c
260,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),100%,26 patients,al_pn-6
261,10015.0,0,33700 highway 43,empty,empty,thomasville,al,36784.0,marion,3346366221.0,acute care hospitals,government - federal,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,92%,24 patients,al_pn-7
262,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
263,10015.0,southwest alabama medical c~!enter,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,86%,14 patients,al_scip-inf-1
264,0,southwest alabama medical center,33700 highway 43,empty,empty,0,al,36784.0,dale,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,14 patients,al_scip-inf-2
265,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),86%,14 patients,al_scip-inf-3
266,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,ts,al_scip-inf-4
267,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,15 patients,al_scip-inf-6
268,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,0,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90%,10 patients,al_scip-vte-1
269,10015.0,southwest alabama medical center,33700 highway 43,empty,empty,thomasville,al,36784.0,clarke,3346366221.0,acute care hospitals,government - federal,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,10 patients,al_scip-vte-2
270,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,99%,179 patients,al_ami-1
271,10016.0,shelbyrbaptist medical cvnter,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,government-hospitaldistrictorauthority,208 patients,al_ami-2
272,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,30 patients,al_ami-3
273,10016.0,shelby baptist medical center,1000 first street north,empty,hf-3,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,0,100%,98 patients,al_ami-4
274,10016.0,0,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pitals,ami-5,0,97%,169 patients,al_ami-5
275,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,0,empty,0 patients,al_ami-7a
276,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,83%,36 patients,al_ami-8a
277,10016.0,shelby baptist medical center,1000 first street north,empty,empty,0,al,35007.0,shelby,0,acute care hospitals,0,yes,heart failure,hf-1,heart failure patients given discharge instructions,86%,210 patients,al_hf-1
278,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,246 patients,al_hf-2
279,10016.0,0,1000 first street north,empty,em,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,71 patients,al_hf-3
280,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,48 patients,al_hf-4
281,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,235 patients,al_pn-2
282,10016.0,shelbyrbaptist medical cvnter,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,110 patients,al_pn-3b
283,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,0,100%,131 patients,al_pn-4
284,10016.0,shelby baptist medical center,1000 first street north,84%,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,239 patients,al_pn-5c
285,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),93%,116 patients,al_pn-6
286,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,92%,199 patients,al_pn-7
287,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89%,96 patients,al_scip-card-2
288,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,368 patients,al_scip-inf-1
289,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,370 patients,al_scip-inf-2
290,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,0,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),91%,331 patients,al_scip-inf-3
291,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,93%,116 patients,al_scip-inf-4
292,0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,588 patients,al_scip-inf-6
293,10016.0,shelbyrbaptist medical cvnter,1000 first street north,empty,empty,0,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,9H%,226 patients,al_scip-vte-1
294,10016.0,shelby baptist medical center,1000 first street north,empty,empty,alabaster,al,35007.0,shelby,2056208100.0,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,225 patients,al_scip-vte-2
295,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,empty,empty,al_ami-1
296,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,efotp,heart attack patients given aspirin at discharge,empty,empty,al_ami-2
297,10018.0,callahan eye foundation hospital,1720 university blvd,empty,m,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,al_ami-3
298,10018.0,0,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,acu###te~! care hosp$itals,al_ami-4
299,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,0,empty,empty,al_ami-5
300,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,0,empty,empty,al_ami-7a
301,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,0,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,empty,al_ami-8a
302,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,empty,empty,al_hf-1
303,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,empty,al_hf-2
304,0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,al_hf-3
305,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,heart failure,0,heart failure patients given smoking cessation advice/counseling,empty,empty,al_hf-4
306,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,empty,empty,al_pn-2
307,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,empty,al_pn-3b
308,10018.0,callahan eye foundation hospital,1720 university blvd,empty,emytp,0,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,empty,empty,al_pn-4
309,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,empty,empty,al_pn-5c
310,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),empty,empty,al_pn-6
311,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,empty,empty,al_pn-7
312,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,100%,tt,al_cac-2
313,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,children s asthma care,GmSUy,children and their caregivers who received a home management plan of care documentw hile hospitalized for asthma,33%,9 patients,al_cac-3
314,10038.0,0,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,81 patients,al_ami-1
315,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,ami-2,0,96%,73 patients,al_ami-2
316,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,14 patients,al_ami-3
317,10038.0,0,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,29 patients,al_ami-4
318,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,93%,67 patients,al_ami-5
319,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,1 patients,al_ami-7a
320,10038.0,0,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,87%,15 patients,al_ami-8a
321,10038.0,0,301 east 18th st,empt%#??##y,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart attack,hf-1,heart attack patients given smoking cessation advice/counseling,87%,142 patients,al_hf-1
322,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,157 patients,al_hf-2
323,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,49 patients,al_hf-3
324,10038.0,stringfellow memorial hospital,301 east 18th st,empty,empty,anniston,al,36201.0,calhoun,2562358900.0,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
